Name,Class,Reg. No,Age
David,I M.Tech,109,20
Bob,II M.Sc(M),29857,23
Eva,B.Sc(Hons),34263,24
Bob,II M.Tech,91815,23
Charlie,II M.Tech,19773,23
David,B.Sc(Hons),31598,27
Charlie,I M.Sc(M),1652,28
Charlie,I M.Sc(M),30859,22
Bob,I M.Tech,86971,23
Charlie,II M.Sc(M),3776,26
Charlie,II M.Tech,32295,27
Alice,I M.Tech,54402,24
Charlie,B.Sc(Hons),90946,22
Alice,I M.Tech,46738,20
Alice,II M.Tech,49295,28
David,II M.Tech,29259,29
David,II M.Sc(M),34352,21
Charlie,I M.Tech,16096,20
Eva,I M.Tech,82587,26
Charlie,I M.Sc(M),12281,29
Bob,B.Sc(Hons),54316,20
Bob,I M.Tech,4028,20
Eva,B.Sc(Hons),3049,29
David,B.Sc(Hons),83410,30
David,II M.Sc(M),1751,29
Bob,II M.Tech,38621,24
Eva,I M.Sc(M),29984,21
Charlie,II M.Tech,52650,20
Charlie,B.Sc(Hons),96102,29
Alice,B.Sc(Hons),54112,29
Eva,I M.Sc(M),20193,24
David,II M.Tech,17048,29
Bob,II M.Tech,75865,26
David,B.Sc(Hons),4722,25
David,B.Sc(Hons),88258,27
Charlie,II M.Sc(M),28988,25
Eva,B.Sc(Hons),48630,27
Alice,I M.Sc(M),12172,20
Charlie,II M.Sc(M),82874,27
David,I M.Tech,19583,21
David,I M.Sc(M),68354,27
Bob,II M.Tech,46603,23
Eva,II M.Tech,87629,21
Alice,B.Sc(Hons),34605,22
Bob,B.Sc(Hons),56192,30
David,II M.Sc(M),32137,30
Alice,I M.Tech,40700,30
Eva,I M.Tech,55684,27
David,I M.Tech,23411,23
Alice,II M.Tech,65067,23
Charlie,II M.Sc(M),163,23
Bob,II M.Sc(M),91607,21
Alice,B.Sc(Hons),67391,23
Bob,I M.Tech,27821,25
Charlie,II M.Sc(M),96338,29
Bob,II M.Tech,91760,30
David,II M.Sc(M),7394,24
David,I M.Sc(M),30623,24
Charlie,II M.Sc(M),41762,27
Alice,B.Sc(Hons),71272,29
Charlie,I M.Tech,84876,20
Bob,I M.Tech,76705,26
David,II M.Tech,56268,26
Bob,B.Sc(Hons),75703,28
Eva,II M.Sc(M),4835,29
Charlie,I M.Sc(M),25933,30
Charlie,I M.Tech,58518,22
Eva,II M.Sc(M),89062,20
Charlie,B.Sc(Hons),14543,21
Charlie,I M.Sc(M),18076,27
David,I M.Tech,34443,23
David,II M.Tech,71767,26
Alice,B.Sc(Hons),88947,28
Eva,II M.Tech,83836,24
Alice,I M.Tech,32498,26
David,I M.Tech,48282,22
Eva,II M.Tech,70562,24
Alice,I M.Sc(M),79720,21
Eva,I M.Sc(M),45570,27
Charlie,II M.Tech,12782,22
Bob,I M.Sc(M),68132,28
Charlie,II M.Sc(M),21645,20
Bob,II M.Tech,48422,30
Eva,B.Sc(Hons),88025,30
Alice,II M.Tech,98921,23
Charlie,I M.Sc(M),92442,25
Charlie,I M.Sc(M),50292,27
Eva,II M.Sc(M),10537,21
Eva,II M.Tech,85959,30
Alice,B.Sc(Hons),97463,23
David,B.Sc(Hons),44317,29
David,B.Sc(Hons),34845,29
David,II M.Sc(M),41750,26
Eva,I M.Sc(M),49486,26
Alice,B.Sc(Hons),98375,25
Alice,B.Sc(Hons),1513,23
Alice,I M.Tech,82823,29
Bob,I M.Tech,47237,25
David,I M.Tech,21321,26
Bob,B.Sc(Hons),17919,26
Charlie,I M.Sc(M),71423,23
Alice,B.Sc(Hons),79465,27
Eva,II M.Tech,90200,24
Charlie,II M.Tech,72912,29
Charlie,II M.Sc(M),11795,29
Eva,B.Sc(Hons),29840,24
Bob,II M.Sc(M),69435,30
Charlie,I M.Sc(M),13455,25
Eva,I M.Sc(M),18174,21
Eva,II M.Tech,29196,25
Bob,II M.Sc(M),77232,28
Eva,I M.Tech,79889,30
Charlie,I M.Tech,4467,29
David,I M.Sc(M),59113,25
Bob,II M.Sc(M),61526,20
Alice,B.Sc(Hons),25273,27
Eva,II M.Tech,32245,29
Bob,I M.Tech,93996,30
Charlie,I M.Sc(M),74166,21
Eva,II M.Tech,81309,23
Charlie,B.Sc(Hons),78196,28
David,I M.Tech,10805,23
David,B.Sc(Hons),43947,23
Eva,I M.Sc(M),9274,22
Charlie,I M.Tech,70567,24
David,B.Sc(Hons),14640,22
Alice,I M.Sc(M),4933,20
Alice,II M.Sc(M),46883,25
Alice,B.Sc(Hons),89928,29
Alice,I M.Tech,33558,30
Alice,I M.Sc(M),44968,25
David,II M.Tech,66338,21
David,B.Sc(Hons),7042,29
Alice,I M.Tech,80069,21
Bob,II M.Sc(M),70273,20
David,I M.Tech,69771,24
David,B.Sc(Hons),88646,27
Charlie,II M.Tech,47752,23
Alice,II M.Tech,68719,22
Charlie,II M.Tech,82877,30
Alice,II M.Tech,20140,28
Bob,I M.Sc(M),50907,30
Eva,I M.Tech,24923,20
Charlie,II M.Tech,17258,24
Bob,I M.Tech,21843,29
Eva,B.Sc(Hons),95052,20
Eva,I M.Tech,21299,26
Eva,B.Sc(Hons),88170,29
Bob,II M.Sc(M),68801,23
Bob,II M.Tech,11803,25
Charlie,II M.Sc(M),88873,20
Alice,B.Sc(Hons),11654,24
Bob,II M.Tech,3483,22
Eva,I M.Sc(M),75287,20
Charlie,I M.Tech,13920,27
Eva,B.Sc(Hons),82240,25
Bob,B.Sc(Hons),54955,28
Alice,B.Sc(Hons),36557,27
David,I M.Sc(M),11819,25
David,I M.Sc(M),69899,26
David,II M.Sc(M),48653,25
Charlie,I M.Tech,15913,21
Eva,II M.Tech,34296,29
David,B.Sc(Hons),15379,29
Bob,II M.Sc(M),17776,24
Charlie,II M.Sc(M),91661,20
Alice,II M.Tech,269,27
Charlie,I M.Tech,6383,24
Eva,I M.Sc(M),24327,23
Eva,I M.Sc(M),82199,22
Eva,B.Sc(Hons),97443,28
Eva,II M.Tech,58092,24
Bob,I M.Sc(M),88607,21
Eva,II M.Sc(M),44609,22
Charlie,I M.Sc(M),41419,24
David,B.Sc(Hons),52944,27
Eva,I M.Sc(M),47301,29
Eva,II M.Tech,10112,27
Eva,I M.Tech,54739,23
Bob,II M.Sc(M),36214,27
David,B.Sc(Hons),53224,20
Eva,B.Sc(Hons),82376,20
Charlie,I M.Tech,7409,25
Charlie,B.Sc(Hons),2030,27
Eva,I M.Sc(M),52848,24
Charlie,II M.Tech,22477,27
Eva,I M.Sc(M),84781,26
Bob,I M.Tech,27640,28
Bob,I M.Tech,586,29
Alice,I M.Tech,77960,28
Eva,I M.Sc(M),72980,26
Bob,II M.Tech,22883,28
Eva,B.Sc(Hons),9740,30
Charlie,II M.Sc(M),98390,24
Bob,II M.Sc(M),40742,21
Alice,II M.Tech,29511,26
Charlie,II M.Sc(M),46251,29
David,B.Sc(Hons),25371,30
Bob,II M.Tech,42070,26
Charlie,I M.Tech,52610,28
Bob,I M.Sc(M),68860,30
Charlie,II M.Sc(M),38853,28
Alice,B.Sc(Hons),73669,22
David,II M.Tech,39481,22
Eva,I M.Tech,48960,29
Eva,I M.Tech,90320,26
Eva,II M.Sc(M),69248,30
Eva,II M.Sc(M),4,28
Bob,I M.Sc(M),19532,24
Bob,II M.Sc(M),81034,24
Alice,I M.Tech,7929,24
Eva,B.Sc(Hons),82741,29
Alice,II M.Sc(M),74875,21
Alice,II M.Tech,90242,30
David,II M.Sc(M),18656,23
Alice,II M.Sc(M),86852,30
Bob,B.Sc(Hons),31455,27
Alice,B.Sc(Hons),8214,27
Bob,II M.Sc(M),51494,20
David,I M.Sc(M),97758,27
David,B.Sc(Hons),72541,23
David,II M.Tech,3744,28
Eva,II M.Tech,50507,23
David,I M.Tech,9119,30
David,B.Sc(Hons),924,23
Charlie,I M.Tech,30667,28
Alice,II M.Tech,2729,21
Alice,I M.Tech,34822,25
Bob,I M.Tech,49347,26
David,I M.Tech,24198,27
Eva,I M.Sc(M),44107,22
David,I M.Tech,22558,29
Eva,B.Sc(Hons),88584,30
Bob,I M.Tech,48239,24
Bob,II M.Sc(M),61795,22
Alice,B.Sc(Hons),11851,20
Alice,I M.Sc(M),24959,22
Bob,B.Sc(Hons),67334,30
Charlie,II M.Tech,72885,22
Alice,B.Sc(Hons),50118,24
Bob,B.Sc(Hons),17591,27
Alice,I M.Sc(M),54848,27
Eva,I M.Tech,98986,29
Alice,I M.Tech,88298,23
David,II M.Sc(M),37509,27
David,I M.Tech,97360,30
Alice,I M.Tech,39326,26
Eva,B.Sc(Hons),30260,21
Alice,II M.Tech,69246,20
Eva,I M.Sc(M),24173,20
Charlie,II M.Sc(M),94851,25
David,B.Sc(Hons),94445,22
Alice,B.Sc(Hons),19950,23
Bob,B.Sc(Hons),12539,29
Alice,B.Sc(Hons),83737,26
Eva,B.Sc(Hons),2493,29
Bob,II M.Sc(M),46466,22
Bob,I M.Tech,32610,23
Alice,I M.Tech,35511,26
David,II M.Sc(M),30184,24
David,B.Sc(Hons),4761,23
Bob,II M.Tech,69754,24
Eva,B.Sc(Hons),78899,27
Alice,II M.Sc(M),45076,25
Alice,II M.Sc(M),75869,29
Charlie,II M.Sc(M),89857,27
Alice,II M.Sc(M),22580,27
David,I M.Tech,74258,24
Bob,II M.Sc(M),78547,27
Alice,II M.Sc(M),36151,21
Eva,II M.Tech,20403,25
Alice,I M.Tech,84048,26
Bob,I M.Sc(M),76883,22
Alice,I M.Tech,64285,28
Alice,B.Sc(Hons),74363,21
David,II M.Sc(M),11321,25
Alice,I M.Tech,67538,24
Alice,I M.Sc(M),16330,25
Bob,I M.Tech,15367,25
David,II M.Tech,73951,29
Charlie,II M.Sc(M),94510,25
Alice,I M.Tech,1942,22
David,B.Sc(Hons),71001,20
Bob,I M.Sc(M),78892,20
Bob,II M.Tech,79668,23
Eva,I M.Tech,82503,23
Eva,I M.Sc(M),50842,27
Bob,II M.Sc(M),46170,22
Charlie,II M.Sc(M),9168,21
Bob,II M.Sc(M),24832,30
Alice,I M.Sc(M),64820,22
Alice,II M.Tech,47868,22
Eva,B.Sc(Hons),10093,27
Alice,II M.Sc(M),16732,27
Charlie,II M.Tech,48757,28
Charlie,I M.Sc(M),40225,25
Alice,I M.Sc(M),78290,27
Eva,II M.Sc(M),97939,28
Alice,I M.Tech,63950,22
Charlie,II M.Sc(M),94512,23
Charlie,B.Sc(Hons),28682,24
Bob,II M.Sc(M),37270,22
Charlie,II M.Sc(M),8928,26
Alice,I M.Tech,58520,26
Alice,B.Sc(Hons),38090,25
David,I M.Tech,43934,29
Bob,II M.Sc(M),41581,30
David,I M.Sc(M),67823,30
Eva,B.Sc(Hons),90445,26
David,II M.Sc(M),70900,21
Eva,I M.Tech,91527,23
Alice,II M.Tech,88374,23
Bob,II M.Sc(M),26914,21
Eva,B.Sc(Hons),55683,24
Eva,I M.Sc(M),26114,30
Alice,B.Sc(Hons),49558,27
Eva,B.Sc(Hons),69826,27
Bob,I M.Sc(M),23097,21
Eva,B.Sc(Hons),69020,30
Charlie,II M.Sc(M),68109,25
Alice,II M.Sc(M),65340,24
Charlie,I M.Tech,60024,25
Charlie,II M.Tech,12575,24
Alice,I M.Tech,55349,21
Alice,B.Sc(Hons),71806,27
Alice,II M.Tech,33354,22
Charlie,II M.Tech,5725,26
Alice,I M.Sc(M),96506,20
Charlie,II M.Tech,25947,26
Eva,I M.Sc(M),81446,22
Bob,I M.Tech,84279,26
David,II M.Tech,59213,20
Charlie,I M.Tech,84407,23
Alice,I M.Tech,68994,20
Charlie,I M.Tech,4331,25
Alice,II M.Sc(M),61258,27
Charlie,I M.Tech,32078,29
David,B.Sc(Hons),41522,21
Alice,II M.Tech,7929,22
Eva,II M.Sc(M),50975,20
Bob,II M.Sc(M),94476,29
David,I M.Tech,86785,23
Bob,I M.Sc(M),32968,28
Bob,I M.Tech,27295,23
Alice,II M.Tech,44341,28
David,II M.Sc(M),79456,21
David,I M.Sc(M),27875,21
Charlie,I M.Sc(M),20846,20
Eva,II M.Tech,51553,23
David,B.Sc(Hons),41111,21
Eva,II M.Tech,60213,23
David,B.Sc(Hons),48654,22
Alice,II M.Sc(M),67036,27
Alice,II M.Tech,19825,28
Eva,II M.Sc(M),21187,24
Bob,I M.Tech,25272,30
David,I M.Tech,84087,29
Charlie,I M.Tech,42574,30
Bob,B.Sc(Hons),37054,27
Bob,I M.Sc(M),37982,24
David,I M.Tech,91727,29
Bob,II M.Sc(M),85262,26
Bob,II M.Sc(M),67759,24
David,B.Sc(Hons),18911,29
Bob,B.Sc(Hons),5634,28
Alice,II M.Sc(M),66001,29
Alice,II M.Tech,84293,27
Eva,II M.Tech,4591,30
Eva,I M.Sc(M),32949,27
Eva,II M.Tech,13856,26
Bob,B.Sc(Hons),82099,21
David,II M.Tech,48838,22
David,I M.Tech,314,22
Eva,I M.Tech,10209,27
Eva,II M.Tech,88094,24
Bob,I M.Tech,85748,27
Alice,II M.Tech,44823,25
Charlie,I M.Sc(M),34452,26
Alice,B.Sc(Hons),89491,27
David,B.Sc(Hons),94301,20
Eva,B.Sc(Hons),53611,22
David,B.Sc(Hons),58728,29
Bob,I M.Sc(M),47165,22
David,I M.Tech,15828,30
Alice,I M.Tech,96798,30
Eva,I M.Tech,90717,20
Eva,I M.Tech,10793,30
Eva,I M.Sc(M),30525,27
Bob,I M.Tech,48899,27
David,II M.Sc(M),53173,23
David,I M.Sc(M),81017,21
Eva,II M.Sc(M),73041,22
Eva,II M.Sc(M),25356,30
Bob,II M.Sc(M),3449,29
Alice,I M.Sc(M),20950,23
Bob,II M.Tech,85323,27
David,I M.Tech,42962,25
David,II M.Sc(M),83893,23
Eva,B.Sc(Hons),71257,23
Alice,II M.Sc(M),22450,29
Eva,B.Sc(Hons),14473,28
Bob,I M.Sc(M),69191,26
Bob,II M.Tech,92668,23
Eva,I M.Sc(M),68079,28
David,I M.Tech,69345,30
David,B.Sc(Hons),40692,22
Bob,B.Sc(Hons),65601,29
Eva,II M.Tech,10019,25
David,II M.Sc(M),68820,29
Alice,I M.Sc(M),1760,25
Bob,I M.Sc(M),5314,28
Eva,II M.Sc(M),57498,26
Charlie,I M.Sc(M),420,22
Bob,II M.Tech,10640,29
Alice,II M.Tech,98930,22
Bob,I M.Tech,44010,29
Bob,B.Sc(Hons),12288,26
Charlie,B.Sc(Hons),56761,24
Bob,II M.Tech,58988,28
Bob,I M.Sc(M),80499,26
Alice,I M.Sc(M),75062,23
David,II M.Tech,59009,28
Alice,I M.Tech,16517,27
Alice,II M.Tech,92589,25
Alice,II M.Sc(M),6931,20
David,B.Sc(Hons),9351,25
David,II M.Sc(M),37057,24
David,I M.Tech,18435,26
Charlie,B.Sc(Hons),94326,29
Eva,II M.Sc(M),84501,29
Bob,I M.Sc(M),44411,24
Charlie,B.Sc(Hons),46368,25
David,II M.Tech,20749,27
David,B.Sc(Hons),21208,23
Eva,I M.Tech,23436,22
Bob,I M.Sc(M),9747,27
Bob,II M.Sc(M),80062,23
Eva,I M.Tech,31979,30
Bob,II M.Tech,17519,24
Bob,I M.Tech,11035,20
David,I M.Sc(M),30066,24
Bob,II M.Tech,51981,20
Eva,I M.Tech,43765,26
David,II M.Sc(M),21542,30
Charlie,B.Sc(Hons),70395,20
Charlie,II M.Sc(M),95818,29
Eva,II M.Sc(M),9314,27
Eva,I M.Tech,7279,28
Eva,I M.Tech,18640,28
David,II M.Tech,79627,22
Bob,I M.Tech,13495,21
Alice,I M.Tech,74207,26
Eva,I M.Tech,29387,20
Alice,I M.Sc(M),14681,25
Charlie,I M.Sc(M),85640,26
Bob,B.Sc(Hons),60775,30
Bob,I M.Tech,63367,24
Eva,II M.Sc(M),75592,23
Bob,II M.Tech,39220,29
Bob,II M.Tech,16989,29
Bob,II M.Sc(M),48938,28
Eva,I M.Sc(M),75873,27
Alice,II M.Sc(M),68506,24
Charlie,I M.Sc(M),9212,28
David,II M.Tech,78069,25
Alice,II M.Sc(M),35518,21
Bob,I M.Tech,60388,30
David,II M.Sc(M),48422,26
Bob,I M.Tech,53938,20
Charlie,I M.Sc(M),31563,29
Bob,I M.Sc(M),9531,27
Eva,II M.Sc(M),8053,30
Bob,I M.Sc(M),33717,22
Bob,II M.Tech,91255,29
Alice,B.Sc(Hons),89696,21
David,I M.Tech,40187,30
Alice,B.Sc(Hons),17222,21
Charlie,II M.Sc(M),54395,27
Eva,II M.Tech,35648,26
Bob,I M.Tech,57868,20
David,II M.Tech,57653,24
Alice,II M.Tech,84592,22
Eva,B.Sc(Hons),16466,21
Alice,II M.Sc(M),56769,22
Eva,II M.Tech,77713,28
Bob,I M.Tech,52386,24
Alice,II M.Sc(M),3474,29
Charlie,I M.Sc(M),71234,30
Eva,I M.Tech,1692,26
David,I M.Sc(M),35264,25
Bob,I M.Tech,86743,21
Eva,B.Sc(Hons),87977,21
Eva,I M.Sc(M),75035,28
Alice,II M.Tech,66490,21
Alice,B.Sc(Hons),96485,22
Alice,I M.Tech,76624,27
David,II M.Tech,72318,27
Bob,I M.Sc(M),66037,22
Charlie,I M.Sc(M),9412,30
Alice,I M.Sc(M),87768,20
Alice,II M.Sc(M),62928,23
Eva,I M.Tech,23572,24
David,II M.Sc(M),97264,26
David,I M.Tech,83994,20
Eva,II M.Sc(M),60023,21
Eva,I M.Tech,48486,20
Bob,II M.Tech,44048,24
David,II M.Tech,29708,30
Bob,II M.Sc(M),21466,30
Bob,B.Sc(Hons),37055,26
David,I M.Sc(M),70491,25
Bob,II M.Tech,24072,27
Bob,II M.Sc(M),11232,24
Bob,II M.Tech,98604,28
Bob,II M.Sc(M),48239,27
Eva,I M.Tech,76653,26
Charlie,I M.Tech,94087,22
Alice,I M.Sc(M),88663,26
Alice,II M.Tech,46974,24
Eva,II M.Tech,68889,21
Charlie,I M.Tech,32251,30
Eva,B.Sc(Hons),33018,23
Eva,II M.Sc(M),52089,27
Charlie,I M.Sc(M),43861,21
Alice,I M.Tech,21858,28
Bob,II M.Tech,11993,30
Alice,II M.Sc(M),42876,21
Bob,B.Sc(Hons),6178,20
David,II M.Sc(M),81058,23
Alice,I M.Sc(M),70391,30
David,II M.Sc(M),39142,24
Charlie,B.Sc(Hons),11208,24
David,I M.Sc(M),51207,29
David,II M.Sc(M),50686,21
Charlie,I M.Tech,3353,29
David,II M.Sc(M),60223,26
Bob,I M.Sc(M),78343,23
Alice,B.Sc(Hons),41594,26
David,I M.Sc(M),21654,28
Alice,I M.Tech,16511,28
Bob,I M.Tech,42930,24
Eva,B.Sc(Hons),53440,23
Charlie,I M.Sc(M),62790,20
Bob,B.Sc(Hons),81969,22
David,II M.Sc(M),97328,24
Eva,B.Sc(Hons),91723,24
David,II M.Tech,82724,30
Alice,II M.Sc(M),59769,24
Alice,II M.Tech,32887,27
David,II M.Tech,23649,28
Alice,II M.Sc(M),36303,28
Charlie,II M.Tech,85982,28
David,B.Sc(Hons),84394,23
Bob,II M.Tech,55161,24
Charlie,I M.Tech,44713,20
Bob,I M.Sc(M),14034,22
Charlie,B.Sc(Hons),25012,30
Eva,I M.Tech,87010,28
Alice,II M.Tech,57943,27
Alice,II M.Sc(M),12528,27
Alice,II M.Tech,17232,27
Bob,I M.Sc(M),63906,25
Eva,I M.Tech,51497,22
Bob,II M.Tech,55095,26
Eva,II M.Sc(M),71142,29
Eva,II M.Tech,63762,25
Charlie,I M.Sc(M),11345,28
Alice,B.Sc(Hons),72104,25
Charlie,I M.Sc(M),99735,22
Bob,II M.Sc(M),20165,21
David,I M.Sc(M),44156,30
Alice,II M.Sc(M),90701,20
David,I M.Sc(M),41172,20
Alice,II M.Tech,7832,23
Eva,II M.Sc(M),69369,26
Charlie,I M.Sc(M),8757,20
Bob,II M.Sc(M),90973,27
David,I M.Sc(M),46275,23
Bob,II M.Tech,62243,30
Eva,II M.Sc(M),51717,29
David,I M.Tech,55618,20
Charlie,II M.Tech,65433,26
Alice,II M.Tech,65644,24
Eva,I M.Tech,8439,20
Bob,II M.Tech,33791,25
Eva,B.Sc(Hons),36177,20
Bob,I M.Sc(M),67838,20
Eva,I M.Tech,86595,22
Eva,I M.Sc(M),39525,24
Eva,I M.Tech,52093,29
Alice,II M.Tech,78243,28
Eva,II M.Tech,68515,22
Bob,I M.Sc(M),43639,26
Alice,I M.Sc(M),79578,23
Eva,I M.Tech,69083,24
Charlie,II M.Tech,76981,29
Bob,I M.Tech,63081,24
Alice,II M.Tech,23528,25
Bob,II M.Sc(M),799,29
Bob,II M.Tech,85734,20
David,I M.Sc(M),84229,25
Eva,II M.Sc(M),76272,25
Bob,II M.Sc(M),58022,30
Charlie,II M.Tech,33463,27
Alice,II M.Sc(M),10260,21
Charlie,II M.Sc(M),92136,25
Charlie,I M.Sc(M),71961,27
David,I M.Tech,88174,20
Alice,I M.Tech,89143,23
Alice,I M.Tech,42850,28
Eva,B.Sc(Hons),35314,28
Bob,B.Sc(Hons),20351,21
Bob,II M.Sc(M),47585,30
David,B.Sc(Hons),98218,20
David,B.Sc(Hons),39986,30
Eva,II M.Sc(M),32125,20
Bob,II M.Sc(M),76183,22
Charlie,B.Sc(Hons),46878,28
Charlie,I M.Tech,89465,30
David,I M.Sc(M),26547,26
David,I M.Sc(M),38469,21
Eva,I M.Tech,32296,29
David,II M.Sc(M),58824,22
Alice,B.Sc(Hons),1396,21
David,I M.Sc(M),99027,30
Charlie,I M.Tech,4455,25
Bob,I M.Tech,1615,29
Alice,I M.Sc(M),24663,27
David,II M.Sc(M),84590,25
David,II M.Tech,70437,21
Bob,I M.Tech,34457,21
David,B.Sc(Hons),69364,24
Bob,I M.Sc(M),48852,30
Eva,I M.Tech,80385,22
Charlie,B.Sc(Hons),20728,22
Eva,I M.Sc(M),77384,20
Bob,B.Sc(Hons),79074,25
Eva,I M.Sc(M),66122,21
Bob,II M.Tech,57172,30
David,II M.Sc(M),67965,21
David,I M.Sc(M),89839,28
Eva,II M.Sc(M),71413,23
David,I M.Tech,73449,20
Charlie,I M.Sc(M),66946,25
David,II M.Sc(M),13610,28
Bob,B.Sc(Hons),51243,23
Charlie,B.Sc(Hons),1802,27
Charlie,I M.Sc(M),33328,27
Bob,I M.Sc(M),85780,23
Charlie,II M.Tech,42872,25
Alice,I M.Sc(M),27622,27
Alice,II M.Tech,73022,27
Bob,I M.Tech,41902,23
Alice,I M.Sc(M),99105,23
Bob,I M.Sc(M),44008,23
Charlie,B.Sc(Hons),76358,28
Eva,I M.Sc(M),54524,29
Alice,II M.Tech,68088,23
Alice,B.Sc(Hons),13095,24
Bob,I M.Sc(M),32935,26
David,II M.Sc(M),21320,30
Bob,I M.Tech,19612,24
Alice,II M.Tech,10948,21
Bob,I M.Sc(M),14267,24
Charlie,II M.Sc(M),81639,25
Charlie,B.Sc(Hons),85454,20
Charlie,II M.Tech,36384,24
Charlie,II M.Sc(M),40565,23
Eva,B.Sc(Hons),14965,20
Charlie,II M.Sc(M),30189,22
Eva,II M.Sc(M),67207,29
Eva,I M.Sc(M),34211,29
Charlie,I M.Tech,98898,29
Alice,B.Sc(Hons),75353,22
David,B.Sc(Hons),53493,25
Charlie,I M.Tech,24629,27
David,B.Sc(Hons),87975,26
Bob,I M.Tech,60209,24
Eva,B.Sc(Hons),23269,27
Alice,II M.Tech,69587,26
Eva,B.Sc(Hons),93132,29
Charlie,II M.Tech,97283,22
Eva,I M.Sc(M),52469,22
Alice,II M.Sc(M),77685,27
Charlie,I M.Tech,95259,24
Bob,B.Sc(Hons),47489,23
Charlie,II M.Tech,3714,20
Bob,II M.Tech,10344,30
Alice,B.Sc(Hons),46480,20
Eva,I M.Tech,12598,23
David,I M.Tech,68013,28
Charlie,II M.Sc(M),64148,25
Alice,II M.Tech,22988,23
Bob,B.Sc(Hons),48309,29
Alice,I M.Tech,58699,20
Bob,II M.Tech,75073,29
Charlie,II M.Sc(M),45529,26
Alice,II M.Sc(M),31729,20
Eva,I M.Sc(M),24301,26
Charlie,I M.Tech,42378,25
David,B.Sc(Hons),6459,28
Eva,I M.Sc(M),12352,28
Bob,I M.Tech,59617,20
Charlie,II M.Tech,51197,26
Eva,I M.Sc(M),64512,22
David,I M.Tech,93676,27
Alice,I M.Sc(M),56822,30
David,II M.Sc(M),22371,28
Eva,II M.Tech,74689,21
Charlie,II M.Tech,67286,30
David,II M.Sc(M),1860,22
Eva,II M.Tech,56915,21
Alice,I M.Sc(M),52885,24
Charlie,II M.Tech,18132,24
Bob,II M.Sc(M),29585,28
Bob,I M.Sc(M),81739,20
David,I M.Tech,15900,20
Charlie,B.Sc(Hons),6320,26
Eva,I M.Tech,48800,29
Eva,I M.Tech,134,21
Charlie,B.Sc(Hons),77451,25
Eva,II M.Sc(M),36570,20
Bob,II M.Sc(M),32223,29
Charlie,I M.Sc(M),98229,26
Alice,II M.Tech,7503,29
Charlie,I M.Sc(M),86740,23
Charlie,B.Sc(Hons),46685,30
David,II M.Tech,24333,28
Charlie,II M.Sc(M),7375,25
Bob,B.Sc(Hons),33241,20
David,I M.Sc(M),23538,28
David,I M.Sc(M),44318,25
Bob,II M.Sc(M),84518,25
Charlie,B.Sc(Hons),61220,23
Alice,I M.Sc(M),64772,29
Eva,I M.Tech,53339,29
Bob,I M.Sc(M),55562,20
Alice,II M.Sc(M),84833,20
Eva,I M.Sc(M),93636,23
Eva,II M.Tech,17118,21
Eva,I M.Sc(M),12871,28
Bob,I M.Tech,75797,20
Charlie,I M.Tech,70172,23
Charlie,II M.Sc(M),12579,21
Alice,II M.Tech,1434,24
Eva,II M.Tech,36497,30
Eva,II M.Sc(M),90986,27
Charlie,II M.Sc(M),71943,24
Alice,I M.Sc(M),67382,23
David,I M.Sc(M),8679,26
Alice,I M.Tech,22827,29
Eva,I M.Sc(M),67262,27
David,II M.Tech,66651,20
David,II M.Sc(M),20559,30
David,B.Sc(Hons),12409,27
Bob,I M.Sc(M),77367,29
David,B.Sc(Hons),90209,20
Charlie,B.Sc(Hons),23134,20
Eva,B.Sc(Hons),68989,22
Charlie,II M.Sc(M),59153,22
Bob,I M.Tech,99890,25
Charlie,II M.Tech,38052,25
David,B.Sc(Hons),79074,26
Alice,I M.Tech,59021,26
Alice,II M.Sc(M),98502,27
Bob,II M.Sc(M),99288,28
Charlie,II M.Tech,52336,24
Charlie,B.Sc(Hons),91794,25
Alice,B.Sc(Hons),38095,24
Alice,II M.Sc(M),89138,23
Charlie,I M.Tech,8893,27
Eva,II M.Tech,26689,23
Bob,I M.Sc(M),72459,30
Eva,B.Sc(Hons),70445,20
Bob,I M.Tech,36082,24
Charlie,I M.Tech,3853,25
David,II M.Sc(M),17938,21
Alice,II M.Sc(M),68448,30
Alice,I M.Tech,6891,23
Alice,B.Sc(Hons),4792,26
Alice,B.Sc(Hons),99262,24
Eva,II M.Sc(M),49447,27
Eva,I M.Tech,99794,25
Eva,II M.Tech,17174,21
David,B.Sc(Hons),57683,21
Alice,II M.Tech,91192,20
Charlie,I M.Tech,12392,22
Alice,B.Sc(Hons),16252,29
Bob,I M.Sc(M),8227,28
Alice,I M.Sc(M),87831,25
Bob,II M.Sc(M),51428,21
Eva,II M.Tech,86848,24
David,I M.Tech,8686,21
Alice,I M.Sc(M),94513,27
Alice,I M.Tech,66572,20
Bob,I M.Sc(M),35682,23
Charlie,II M.Tech,33309,29
Eva,I M.Sc(M),73954,27
Eva,I M.Tech,6352,22
Alice,II M.Sc(M),33131,20
Eva,II M.Sc(M),84742,27
Eva,I M.Sc(M),83680,23
Bob,I M.Tech,89006,20
Bob,I M.Tech,79524,26
David,II M.Sc(M),53279,21
David,II M.Tech,51781,25
Charlie,I M.Sc(M),74972,28
Bob,B.Sc(Hons),32745,23
Eva,II M.Tech,13053,20
Charlie,I M.Tech,72127,23
Alice,I M.Tech,90439,20
David,II M.Sc(M),42322,24
Charlie,II M.Sc(M),38976,24
Alice,I M.Sc(M),8440,26
